Id,SalePrice
1461,129500
1462,110000
1463,187500
1464,159000
1465,108480
1466,178000
1467,109000
1468,40000
1469,143000
1470,138500
1471,180000
1472,118000
1473,118000
1474,148500
1475,75000
1476,142600
1477,110000
1478,110000
1479,205000
1480,244000
1481,142600
1482,176000
1483,81000
1484,159895
1485,200000
1486,163990
1487,149900
1488,201000
1489,60000
1490,150000
1491,131500
1492,91000
1493,133500
1494,172500
1495,240000
1496,153500
1497,151000
1498,151000
1499,155000
1500,155000
1501,172500
1502,75000
1503,150900
1504,140000
1505,127000
1506,119000
1507,250000
1508,129000
1509,105000
1510,129000
1511,128500
1512,143000
1513,135000
1514,108959
1515,136900
1516,84500
1517,148000
1518,153500
1519,145000
1520,109000
1521,120000
1522,143000
1523,40000
1524,64500
1525,94750
1526,108000
1527,58500
1528,119900
1529,132500
1530,139000
1531,79000
1532,131500
1533,110500
1534,101000
1535,130500
1536,58500
1537,110000
1538,178000
1539,112000
1540,130000
1541,95000
1542,105000
1543,106000
1544,87000
1545,125500
1546,128000
1547,128000
1548,66500
1549,128000
1550,93000
1551,91000
1552,106000
1553,104900
1554,151000
1555,157000
1556,135000
1557,124500
1558,37900
1559,128000
1560,103600
1561,119000
1562,110000
1563,110000
1564,132500
1565,108000
1566,180000
1567,35311
1568,135000
1569,81000
1570,147000
1571,87000
1572,124500
1573,135000
1574,125000
1575,121500
1576,162000
1577,176000
1578,140000
1579,94750
1580,140000
1581,133500
1582,110000
1583,205000
1584,87000
1585,131500
1586,35311
1587,55993
1588,124500
1589,80000
1590,91000
1591,94000
1592,79900
1593,58500
1594,140000
1595,107000
1596,95000
1597,172785
1598,129000
1599,140000
1600,127500
1601,34900
1602,105000
1603,55993
1604,134000
1605,173000
1606,173000
1607,142600
1608,118000
1609,60000
1610,107000
1611,133500
1612,127500
1613,140000
1614,81000
1615,85400
1616,106000
1617,75000
1618,127000
1619,82500
1620,106000
1621,108000
1622,95000
1623,150000
1624,187500
1625,111250
1626,143000
1627,159000
1628,135000
1629,98000
1630,133900
1631,100000
1632,127000
1633,95000
1634,164000
1635,143000
1636,176000
1637,154300
1638,90000
1639,119000
1640,187500
1641,148000
1642,140000
1643,124500
1644,210000
1645,125000
1646,122000
1647,94750
1648,176000
1649,98600
1650,119500
1651,76000
1652,118000
1653,118000
1654,148500
1655,148500
1656,148500
1657,148500
1658,148500
1659,80000
1660,83000
1661,229000
1662,200000
1663,163500
1664,244000
1665,110000
1666,215000
1667,175000
1668,175000
1669,165500
1670,208900
1671,208900
1672,287000
1673,90000
1674,147000
1675,100000
1676,180000
1677,143000
1678,244000
1679,289000
1680,145000
1681,202500
1682,215000
1683,159895
1684,120000
1685,108000
1686,159895
1687,79000
1688,172400
1689,135000
1690,143000
1691,118500
1692,187500
1693,105000
1694,143000
1695,180000
1696,197000
1697,180000
1698,239686
1699,163000
1700,185000
1701,135000
1702,110000
1703,147000
1704,150000
1705,143500
1706,244000
1707,176000
1708,179000
1709,142600
1710,176000
1711,152000
1712,141000
1713,165500
1714,145000
1715,183200
1716,60000
1717,176000
1718,176000
1719,140000
1720,139000
1721,82500
1722,82500
1723,111250
1724,176000
1725,135000
1726,125500
1727,176000
1728,95000
1729,110000
1730,98000
1731,117500
1732,125000
1733,100000
1734,110000
1735,109000
1736,85000
1737,207500
1738,135000
1739,130000
1740,171750
1741,129900
1742,172500
1743,110000
1744,187500
1745,187100
1746,129500
1747,164000
1748,117500
1749,173000
1750,139000
1751,90000
1752,119000
1753,127500
1754,237000
1755,215000
1756,119000
1757,124500
1758,129000
1759,155000
1760,124000
1761,120000
1762,173000
1763,82500
1764,128500
1765,150000
1766,150000
1767,168000
1768,118000
1769,82500
1770,110000
1771,139000
1772,144500
1773,128000
1774,135000
1775,109000
1776,111250
1777,62383
1778,109000
1779,82000
1780,108000
1781,119000
1782,73000
1783,105000
1784,40000
1785,91000
1786,115000
1787,125500
1788,73000
1789,64500
1790,64500
1791,228500
1792,167000
1793,129500
1794,109000
1795,111000
1796,55993
1797,107000
1798,99500
1799,119000
1800,119000
1801,135000
1802,85000
1803,124500
1804,100000
1805,109000
1806,99900
1807,95000
1808,133500
1809,135000
1810,128000
1811,89500
1812,135000
1813,128000
1814,110000
1815,60000
1816,55993
1817,140000
1818,106000
1819,151000
1820,151000
1821,76500
1822,140000
1823,35311
1824,202500
1825,79000
1826,37900
1827,93000
1828,93000
1829,115000
1830,135000
1831,140000
1832,130000
1833,103600
1834,66500
1835,93000
1836,79000
1837,82500
1838,110000
1839,87000
1840,121500
1841,122000
1842,79000
